Instruction,Response
Qual é o artigo que regulamenta a operacionalização da oferta de disciplinas a cada semestre?,Artigo 1º
Quais são os responsáveis diretos pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual é a resolução que fala sobre o processo de oferta de disciplina e operacionalização da matrícula em disciplina a cada semestre?,Resolução Nº 018/2012
Quem é responsável pelo acompanhamento e supervisão da oferta de disciplinas?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais são as atribuições da PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UNIVERSIDADE FEDERAL DO AMAZONAS?,A PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UNIVERSIDADE FEDERAL DO AMAZONAS é responsável por regulamentar a operacionalização da oferta de disciplinas a cada semestre.
Quais são os responsáveis diretos pela oferta das disciplinas a cada semestre?,Os responsáveis diretos pela oferta das disciplinas são o coordenador de curso e o chefe de departamento/coordenador acadêmico.
Quem é responsável pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quais os procedimentos para oferta de disciplinas?,"A oferta de disciplinas é feita através do Sistema Integrado de Ensino (SIE), devendo ser observados os seguintes procedimentos: O coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para ministrá-las. O chefe de departamento/coordenador acadêmico, após análise e concordância dos pedidos de oferta, faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula, via SIE."
Qual o objetivo da Resolução?,A Resolução tem como objetivo regulamentar a oferta de disciplinas a cada semestre.
Quem é responsável pela oferta de disciplinas obrigatórias e optativas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
O que deve ser priorizado na alocação de professores?,"O chefe de departamento/coordenador acadêmico deve priorizar a alocação de professores para disciplinas oferecidas para primeiro período de todos os cursos da UFAM, preferencialmente as destinadas aos calouros do período."
"Em caso de falta de consenso entre as partes, quem é responsável por propor horários e dias de funcionamento das disciplinas?","Em caso de falta de consenso entre as partes, cabe à PROEG propor horários e dias de funcionamento das disciplinas."
Como a UFAM deve fazer a oferta de disciplinas a cada período letivo?,"De acordo com o artigo 1º da Resolução nº 018/2012, a Universidade Federal do Amazonas deve fazer a oferta de disciplinas obrigatórias e optativas do período em questão, fixado no Calendário Acadêmico."
Quem é responsável pela oferta e supervisão das disciplinas da UFAM?,"De acordo com os parágrafos 1º e 2º do artigo 1º, o coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas, enquanto a PROEG é responsável pelo acompanhamento e supervisão."
O que é a Resolução 018/2012?,A Resolução 018/2012 é uma norma que regulamenta a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Quais são as atribuições da Pró-Reitora de Ensino de Graduação e da Câmara de Ensino de Graduação?,"As atribuições da Pró-Reitora de Ensino de Graduação e da Câmara de Ensino de Graduação incluem, respectivamente, a presidência da Câmara de Ensino de Graduação e o acompanhamento e supervisão da oferta de disciplinas."
O que é o SIE?,O SIE é o Sistema Integrado de Ensino utilizado pela Universidade Federal do Amazonas para a oferta de disciplinas e a realização da matrícula em cada semestre.
Qual o artigo que define como deve ser feita a oferta de disciplina(s)/turma(s)?,"O Artigo 2º define as regras para a oferta de disciplina(s)/turma(s), incluindo que deve ser feita através do Sistema Integrado de Ensino (SIE) e que o chefe de departamento/coordenador acadêmico é responsável pela alocação do professor e do espaço físico."
Quem é o responsável por supervisionar a oferta de disciplinas?,A PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UNIVERSIDADE FEDERAL DO AMAZONAS E PRESIDENTE DA CÂMARA DE ENSINO DE GRADUAÇÃO é responsável por supervisionar a oferta de disciplinas.
Explique como é feita a oferta de disciplinas por semestre na UFAM,"A oferta de disciplinas é feita através do Sistema Integrado de Ensino (SIE), que é atualmente o sistema utilizado pela UFAM. O coordenador de curso deve fazer a oferta de todas as disciplinas obrigatórias e optativas do período e, caso haja demanda reprimida e condições de oferta, sugerir dias e horários para sua realização, bem como o nome do professor que irá ministrá-las. Após análise e concordância dos pedidos de oferta, o chefe de departamento/coordenador acadêmico faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula no SIE. É obrigatória a indicação do nome do professor responsável por cada disciplina/turma oferecida."
Como é feita a oferta de disciplinas e turmas à cada semestre?,"A oferta de disciplinas e turmas é feita através do Sistema Integrado de Ensino - SIE, seguindo alguns procedimentos. O coordenador de curso deve fazer a oferta de todas as disciplinas obrigatórias e optativas do período, sugerindo dias e horários para sua realização e nome do professor para ministrá-las. Após a análise e concordância dos pedidos de oferta, o chefe de departamento/coordenador acadêmico faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula. Caso não haja concordância, as partes devem manter diálogo até que haja consenso. Se não houver consenso e o prazo de oferta de disciplinas definido no Calendário Acadêmico tiver esgotado, a PROEG poderá propor horários e dias de funcionamento para a disciplina. É obrigatória a indicação do nome do professor responsável para cada disciplina/turma oferecida."
Qual é a data de início desta resolução?,"Esta resolução passa a vigorar a partir da presente data, revogando-se as disposições em contrário."
Quem é responsável pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Como é feita a oferta de disciplinas no período letivo?,A oferta de disciplinas obrigatórias e optativas do período é feita através do Sistema Integrado de Ensino - SIE.
Quais são os procedimentos que devem ser observados na oferta de disciplinas?,"Deve-se observar a oferta de todas as disciplinas obrigatórias e optativas do período, a alocação de professores e espaço físico, e a liberação da disciplina para matrícula."
O que essa resolução busca regulamentar?,Essa resolução busca regulamentar a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Qual o objetivo dessa resolução?,O objetivo dessa resolução é aprimorar o processo de oferta e matrícula das disciplinas na Universidade Federal do Amazonas.
Quais entidades são responsáveis pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
O que deve ser observado na oferta de disciplina?,Deve ser observado o Calendário Acadêmico e as disciplinas obrigatórias e optativas do período.
Quem é o responsável pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
O que deve ser feito em caso de não haver consenso entre o coordenador de curso e o chefe de departamento/coordenador acadêmico?,"As partes devem manter diálogo, via SIE, sobre as alterações até que haja o consenso."
O que deve ser feito caso não haja professor para ser o responsável pela disciplina?,"O chefe de departamento/coordenador acadêmico deverá sinalizar, em campo apropriado no SIE, a mensagem PROFESSOR A CONTRATAR."
Como são definidas as disciplinas que serão ofertadas a cada período letivo?,"As disciplinas obrigatórias e optativas do período devem ser ofertadas de acordo com o Calendário Acadêmico da UFAM, através do Sistema Integrado de Ensino (SIE). O coordenador de curso é responsável por fazer a oferta das disciplinas e encaminhar os pedidos para o chefe de departamento/coordenador acadêmico, que fará a alocação dos professores e espaço físico, liberando a disciplina para matrícula."
Quem é responsável por acompanhar e supervisionar a oferta de disciplinas?,A PROEG é responsável por acompanhar e supervisionar a oferta de disciplinas a cada período letivo. É importante destacar que a oferta de disciplinas é realizada através do Sistema Integrado de Ensino (SIE) e que o coordenador de curso e o chefe de departamento/coordenador acadêmico têm responsabilidades diretas na oferta das disciplinas.
O que é a Resolução Nº 018/2012?,A Resolução Nº 018/2012 é uma norma que regulamenta a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Quem é responsável pela oferta das disciplinas na Universidade Federal do Amazonas?,"De acordo com a Resolução Nº 018/2012, o coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas."
Como é feita a oferta de disciplinas na UFAM?,"De acordo com a Resolução Nº 018/2012, a oferta de disciplinas é feita através do Sistema Integrado de Ensino (SIE), seguindo procedimentos específicos definidos pela norma."
Qual é o artigo que define que a cada período letivo a Universidade Federal do Amazonas deverá fazer a oferta de disciplinas obrigatórias e optativas do período?,Artigo 1º
"De acordo com o Artigo 1º, quem são os responsáveis diretos pela oferta das disciplinas?",O coordenador de curso e o chefe de departamento/coordenador acadêmico
Qual é a função da PROEG em relação à oferta de disciplinas?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Qual é o responsável por fazer a oferta de disciplinas na Universidade Federal do Amazonas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Como é feita a oferta de disciplinas?,A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino  SIE.
O que deve ser feito quando não há concordância entre as partes sobre a oferta de disciplinas?,"As partes devem manter diálogo, via SIE, sobre as alterações até que haja o consenso. Havendo, o chefe de departamento/coordenador acadêmico libera a disciplina para a matrícula."
Quem é responsável por indicar o nome do professor responsável por cada disciplina/turma?,O chefe de departamento/coordenador acadêmico é responsável por indicar o nome do professor responsável por cada disciplina/turma.
Quem é responsável pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são responsáveis diretos pela oferta das disciplinas. A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
O que deve ser observado na oferta de disciplinas?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino - SIE. Deve-se fazer a oferta de todas as disciplinas obrigatórias e optativas do período, além da oferta extra no caso de haver demanda reprimida e condições de oferta. Deve-se também sugerir dias e horários para sua realização, bem como nome do professor para ministrá-las. Depois, o chefe de departamento/coordenador acadêmico deve analisar e concordar com os pedidos de oferta, fazendo a alocação do professor e do espaço físico, liberando a disciplina para matrícula."
Quais são os responsáveis pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual é a função da PROEG em relação à oferta de disciplinas?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais as etapas para a oferta de disciplinas?,"A oferta de disciplinas é feita através do Sistema Integrado de Ensino - SIE, sendo que o coordenador do curso sugere os dias, horários e os professores para ministrar as disciplinas, e o chefe de departamento/coordenador acadêmico é responsável por alocar os professores e o espaço físico. Se houver discordância entre as partes, a PROEG pode propor horários e dias de funcionamento."
O que deve ser observado na oferta de disciplinas a cada semestre?,"A oferta de disciplina(s)/turma(s) deve ser feita através do Sistema Integrado de Ensino - SIE, devendo ser observados os seguintes procedimentos: a) O coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, sugerindo dias e horários para sua realização bem como nome do professor para ministrá-las. Ato contínuo deve encaminhar esses pedidos de oferta para o chefe de departamento/coordenador acadêmico, via SIE; b) O chefe de departamento/coordenador acadêmico, após análise e concordância dos pedidos de oferta, faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula, via SIE."
Qual é a data de vigência desta Resolução?,"Esta Resolução passa a vigorar a partir da presente data, ou seja, a partir de 27 de abril de 2012."
Quem é o responsável pela oferta de disciplinas a cada período letivo?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta de disciplinas.
Quais são os responsáveis diretos pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Qual o papel da PROEG nesse processo?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quem deve fazer a oferta das disciplinas obrigatórias e optativas do período?,"O coordenador de curso é responsável por fazer a oferta de todas as disciplinas obrigatórias e optativas do período, e oferecer extra no caso de haver demanda reprimida e condições de oferta."
Qual é o responsável pela oferta de disciplinas do período letivo?,"De acordo com a Resolução Nº 018/2012, o coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas."
Quais são as competências da PROEG em relação à oferta de disciplinas?,"A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas, conforme determinado pela Resolução Nº 018/2012."
Qual é o sistema utilizado para fazer a oferta de disciplinas?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino (SIE), conforme estabelecido pela Resolução Nº 018/2012."
O que é a Resolução 018/2012-CEG/CONSEPE?,A Resolução 018/2012-CEG/CONSEPE é uma norma que estabelece as regras para a oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Quais são as atribuições da PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UNIVERSIDADE FEDERAL DO AMAZONAS?,A PRÓ-REITORA DE ENSINO DE GRADUAÇÃO DA UNIVERSIDADE FEDERAL DO AMAZONAS é responsável por regulamentar e supervisionar a oferta de disciplinas a cada semestre.
Quais os responsáveis pela oferta de disciplinas na UFAM?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta de disciplinas na UFAM.
Quem é responsável por fazer a oferta de disciplinas a cada semestre?,O coordenador de curso e o chefe de departamento/coordenador acadêmico.
Qual é o sistema usado para a oferta de disciplinas?,Sistema Integrado de Ensino (SIE).
O que deve ser feito no caso de não haver concordância entre o coordenador de curso e o chefe de departamento/coordenador acadêmico sobre a sugestão de dias e horários de funcionamento das disciplinas?,"As partes devem manter diálogo, via SIE, sobre as alterações até que haja o consenso."
Quem deve ser indicado como responsável por cada disciplina/turma oferecida?,Nome do professor responsável.
Qual é o objetivo desta resolução?,A resolução tem como objetivo regulamentar a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Quais órgãos são responsáveis pela oferta de disciplinas?,O coordenador do curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas. A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Como é feita a oferta de disciplinas?,"A oferta de disciplinas é feita através do Sistema Integrado de Ensino (SIE). O coordenador de curso sugere dias, horários e nome do professor para ministrar as disciplinas e encaminha esses pedidos para o chefe de departamento/coordenador acadêmico, que analisa e concorda com a oferta. Caso não haja consenso, as partes devem dialogar até chegarem a um acordo."
Como proceder para fazer a oferta de disciplinas a cada semestre?,"Para fazer a oferta de disciplinas a cada semestre, o coordenador de curso deve sugerir dias e horários para sua realização bem como nome do professor para ministrá-las, e encaminhar esses pedidos de oferta para o chefe de departamento/coordenador acadêmico, via SIE. O chefe de departamento/coordenador acadêmico deve analisar e concordar com os pedidos de oferta, alocar o professor e o espaço físico, liberando a disciplina para matrícula. Em caso de não haver consenso entre as partes, a PROEG pode propor horários e dias de funcionamento que possibilitem ao aluno cursar a disciplina. Além disso, é obrigatória a indicação do nome do professor responsável para cada disciplina ofertada."
Qual é o objetivo do artigo 1º?,O artigo 1º tem como objetivo regulamentar a operacionalização da oferta de disciplinas obrigatórias e optativas a cada semestre.
Quais são os responsáveis pela oferta das disciplinas?,Os responsáveis pela oferta das disciplinas são o coordenador de curso e o chefe de departamento/coordenador acadêmico.
O que deve ser observado na oferta de disciplinas?,"Na oferta de disciplinas, deve ser observado o Calendário Acadêmico e as normas internas em vigor, além de adequação ao Sistema Integrado de Ensino (SIE)."
Quem é responsável pelo acompanhamento e supervisão da oferta de disciplinas?,A PROEG (Pró-Reitoria de Ensino de Graduação) é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Qual o nome da presidente da Câmara de Ensino de Graduação?,A presidente da Câmara de Ensino de Graduação é Rosana Cristina Pereira Parente.
Quem é o responsável pela oferta das disciplinas?,O coordenador do curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quais as atribuições da Pró-Reitora de Ensino de Graduação?,A Pró-Reitora de Ensino de Graduação é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais os procedimentos para a oferta de disciplinas?,"Os procedimentos para a oferta de disciplinas incluem a alocação do professor e do espaço físico, a liberação da disciplina para matrícula e a indicação do nome do professor responsável."
Você pode encontrar o artigo 1 da Resolução nº 018/2012?,"O artigo 1 da Resolução nº 018/2012 estabelece que a Universidade Federal do Amazonas deve fazer a oferta de disciplinas obrigatórias e optativas do período a cada período letivo, conforme o Calendário Acadêmico."
O que é responsabilidade do coordenador de curso e do chefe de departamento/coordenador acadêmico?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são responsáveis pela oferta das disciplinas, alocação de professores e espaços físicos, além de acompanhamento e supervisão da oferta de disciplinas."
Qual a função do Sistema Integrado de Ensino (SIE)?,"O Sistema Integrado de Ensino (SIE) é responsável pela oferta de disciplinas e matrícula dos alunos, além de possibilitar o diálogo entre o coordenador de curso e o chefe de departamento/coordenador acadêmico."
Qual é a responsabilidade da Pró-Reitora de Ensino de Graduação da UFAM?,A Pró-Reitora de Ensino de Graduação da UFAM é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Quais são os responsáveis diretos pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta de disciplinas.
O que deve ser observado na oferta de disciplina(s)/turma(s) no Sistema Integrado de Ensino - SIE?,"Devem ser observados os procedimentos de oferta de todas as disciplinas obrigatórias e optativas do período, oferta extra no caso de haver demanda reprimida e condições de oferta, e sugestão de dias e horários para sua realização, bem como nome do professor para ministrá-las."
Qual é a data de vigência da resolução?,A Resolução entrou em vigor em 27 de abril de 2012.
Quem é responsável pela alocação de professores?,O chefe de departamento/coordenador acadêmico é responsável pela alocação de professores.
Quais são os procedimentos para a oferta de disciplinas?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino - SIE, seguindo os procedimentos definidos no artigo 2º da Resolução."
Quando o processo de oferta de disciplina/turma é considerado finalizado?,"O processo de oferta de disciplina/turma é considerado finalizado quando a disciplina/turma estiver com a situação de matrícula no SIE, permitindo que o aluno visualize a oferta no Portal do Aluno."
O que é o SIE?,"O SIE é Sistema Integrado de Ensino, utilizado pela Universidade Federal do Amazonas para a oferta de disciplinas e matrículas a cada semestre."
Como é feita a oferta de disciplinas?,"A oferta de disciplinas é feita através do Sistema Integrado de Ensino (SIE), no qual o coordenador de curso sugere dias e horários para a realização das disciplinas, além de indicar o nome do professor responsável. O chefe de departamento/coordenador acadêmico tem a responsabilidade de analisar e aprovar as sugestões e fazer a alocação do professor e do espaço físico, liberando a disciplina para matrícula."
Quem é responsável pela oferta de disciplinas?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas, com supervisão da PROEG."
O que é a Câmara de Ensino de Graduação?,A Câmara de Ensino de Graduação é um órgão da Universidade Federal do Amazonas responsável por regulamentar a oferta de disciplinas e a matrícula dos alunos a cada semestre.
Quem é o responsável pela oferta de disciplinas em cada período letivo?,Os coordenadores de curso e os chefes de departamento/coordenadores acadêmicos são os responsáveis diretos pela oferta de disciplinas em cada período letivo.
Quais são os procedimentos para a oferta de disciplinas?,"Os procedimentos para a oferta de disciplinas incluem a sugestão de dias e horários pelo coordenador de curso, a alocação de professores e espaços físicos pelo chefe de departamento/coordenador acadêmico e a liberação da disciplina para matrícula no Sistema Integrado de Ensino (SIE)."
Quais são os responsáveis pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quem é responsável pelo acompanhamento e supervisão da oferta de disciplinas?,A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Informar os responsáveis diretos pela oferta de disciplinas.,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Informar o órgão responsável por supervisionar a oferta de disciplinas.,O órgão responsável por supervisionar a oferta de disciplinas é a PROEG - Pró-Reitoria de Ensino de Graduação.
Qual é a data de vigência desta Resolução?,"Esta Resolução passa a vigorar a partir da presente data, revogando-se as disposições em contrário."
Quais são os responsáveis pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
O que deve ser observado na oferta de disciplinas?,"Deve ser observado o Calendário Acadêmico, a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta."
Quais são os responsáveis pela oferta de disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Quais são os procedimentos para a oferta de disciplinas?,"Os procedimentos para a oferta de disciplinas são: o coordenador de curso faz a oferta de todas as disciplinas obrigatórias e optativas do período e oferta extra no caso de haver demanda reprimida e condições de oferta, e o chefe de departamento/coordenador acadêmico faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula."
O que deve ser observado na oferta de disciplinas?,Na oferta de disciplinas é necessário observar o Calendário Acadêmico e a alocação de professores e espaço físico através do Sistema Integrado de Ensino (SIE).
Qual a responsabilidade da Câmara de Ensino de Graduação (CEG) da UFAM?,"A CEG é responsável pela supervisão e acompanhamento da oferta de disciplinas na UFAM, conforme estabelecido na Resolução 018/2012."
Quem é o responsável pela alocação do professor e do espaço físico para a oferta de disciplinas na UFAM?,"O chefe de departamento ou coordenador acadêmico é o responsável pela alocação do professor e do espaço físico para a oferta de disciplinas na UFAM, conforme estabelecido no artigo 2º da Resolução 018/2012."
Como é feita a oferta de disciplinas na UFAM?,"A oferta de disciplinas na UFAM é feita através do Sistema Integrado de Ensino (SIE), devendo ser observados os procedimentos estabelecidos no artigo 2º da Resolução 018/2012."
Qual é o período letivo?,O período letivo é fixado no Calendário Acadêmico e a Universidade Federal do Amazonas deverá fazer a oferta de disciplinas obrigatórias e optativas do período.
