Instruction,Response
O que é a Pró-Reitoria de Ensino de Graduação da UFAM?,"A Pró-Reitoria de Ensino de Graduação é uma divisão da Universidade Federal do Amazonas responsável por gerenciar e coordenar todos os assuntos relacionados à graduação, incluindo matrícula, registro acadêmico, orientação acadêmica e programas acadêmicos."
Quais são os principais serviços oferecidos pela Pró-Reitoria de Ensino de Graduação da UFAM?,"Os principais serviços oferecidos pela Pró-Reitoria de Ensino de Graduação da UFAM são matrícula, registro acadêmico, orientação acadêmica e programas acadêmicos. Além disso, também é responsável pela gestão do acervo acadêmico e pela emissão de diplomas."
Qual o nome do pró-reitor de Ensino de Graduação da Universidade Federal do Amazonas (UFAM)?,David Lopes Neto
Quais são os nomes das coordenadoras da Pró-Reitoria de Ensino de Graduação da UFAM?,"Déia da Silva Trindade, Jeane Cristina Lima, Adriana Andrade Cabral, Núbia Rodrigues de Souza, Yara Cláudia Renovato dos Santos Souza"
"Para obter a Carta de Serviços ao Usuário da UFAM, acesse o site oficial da instituição e faça o download do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt1.","O arquivo contém informações sobre a legislação acadêmica de Graduação da Universidade Federal do Amazonas (UFAM), incluindo os contatos dos responsáveis por cada setor e a descrição de todas as etapas dos serviços oferecidos pela instituição."
"Caso tenha dúvidas sobre a legislação acadêmica de Graduação da UFAM, entre em contato com a Pró-Reitoria de Ensino de Graduação através do e-mail prg@ufam.edu.br ou pelo telefone (92) 3305-1189.","A Pró-Reitoria de Ensino de Graduação é responsável por coordenar e executar as políticas e ações voltadas para a educação de graduação na UFAM, além de prestar atendimento e orientação aos estudantes e servidores da instituição."
Como obter uma cópia da carta de serviços da Universidade Federal do Amazonas?,"Para obter uma cópia da carta de serviços da Universidade Federal do Amazonas, acesse o site da instituição e clique na aba 'Documentos' ou procure o setor de atendimento ao público da Pró-Reitoria de Ensino de Graduação e solicite uma cópia impressa."
Quais são os serviços oferecidos pela Pró-Reitoria de Ensino de Graduação?,"A Pró-Reitoria de Ensino de Graduação oferece serviços como orientação acadêmica, matrícula, registro acadêmico, registro de diploma, apoio ao usuário do sistema acadêmico, entre outros. Para mais informações, acesse a carta de serviços da instituição ou entre em contato com a secretaria da Pró-Reitoria."
Como obter informações sobre a Universidade Federal do Amazonas (UFAM)?,Você pode encontrar informações detalhadas sobre a Universidade Federal do Amazonas (UFAM) no arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt1. Basta acessá-lo e buscar pelas informações desejadas.
Como entrar em contato com a Pró-Reitoria de Ensino de Graduação da UFAM?,"Você pode entrar em contato com a Pró-Reitoria de Ensino de Graduação da UFAM através dos seguintes meios: telefone (92) 3305-1485, e-mail proeg@ufam.edu.br ou pessoalmente no endereço Av. Rodrigo Otávio, 3000 - Coroado I, Manaus - AM, 69077-000. Além disso, você também pode acessar o site da UFAM para obter mais informações de contato."
"Para obter informações sobre a estrutura organizacional da Pró-Reitoria de Ensino de Graduação da Universidade Federal do Amazonas (UFAM), incluindo os nomes e cargos dos dirigentes e coordenadores, bem como os serviços oferecidos por cada departamento e coordenadoria, acesse o arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt1.","O arquivo possui informações detalhadas sobre a estrutura organizacional da Pró-Reitoria de Ensino de Graduação da UFAM, incluindo os nomes e cargos dos dirigentes e coordenadores de cada departamento e coordenadoria, bem como os serviços oferecidos por cada um."
Quais são os nomes das coordenadoras do Departamento de Registro Acadêmico?,Déia da Silva Trindade
Quem é a Procuradora Educacional Institucional (PEI)?,Raimunda Sabóia Monteiro
O que é o Departamento de Registro Acadêmico?,"O Departamento de Registro Acadêmico (DRA) é o setor responsável por realizar a gestão e manutenção dos registros acadêmicos dos alunos da Universidade Federal do Amazonas (UFAM). Esse departamento é responsável por emitir documentos, como históricos escolares, certificados, diplomas e declarações, além de realizar matrículas, transferências, trancamentos e outros procedimentos relacionados à vida acadêmica do aluno. Para entrar em contato com o DRA, é possível realizar atendimento presencial ou eletrônico, por meio do sistema SIGAA."
Quais são os serviços oferecidos pela Procuradoria Institucional Educacional (PEI) da UFAM?,"A Procuradoria Institucional Educacional (PEI) da UFAM oferece serviços relacionados à gestão e planejamento acadêmico, como a elaboração e revisão de políticas e normas acadêmicas, acompanhamento e avaliação de programas e projetos educacionais, monitoramento e controle de indicadores de desempenho institucional, entre outros. Além disso, a PEI também é responsável por providenciar assessoria jurídica para a instituição e gerenciar convênios e parcerias com outras universidades e órgãos externos."
Quais as informações sobre a legislação acadêmica de Graduação da Universidade Federal do Amazonas (UFAM)?,Visão.......................................................................................................................................09 Princípios...............................................................................................................................09 Valores...................................................................................................................................09 Competências.......................................................................................................................09 Atendimento Presencial e Eletrônico..........................................................................10 Serviços Ofertados pela Proeg..................................................................................... 11 Câmara de Ensino e Graduação - CEG..........................................................................12 Serviços ofertados pela CEG..............................................................................................13 Procuradoria Institucional Educacional - PEI.............................................................14 Serviços ofertados pela PEI................................................................................................15 Departamento de Apoio ao Ensino - DAE................................................................... 16 Serviços Ofertados pelo DAE............................................................................................ 17 Departamento de Programas Acadêmicos - DPA ..................................................... 18 Serviços ofertados pelo DPA............................................................................................ 19 Departamento de Legislação e Normas - DLN........................................................... 20 Serviços ofertados pelo DLN............................................................................................. 21 Departamento de Registro Acadêmico - DRA.............................................................22
"Para encontrar informações sobre os valores e competências dos serviços de atendimento presencial e eletrônico da Universidade Federal do Amazonas, vá até a página 10 do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt2.","Nessa página, você encontrará as informações sobre os princípios que norteiam esses serviços, bem como as competências e valores que devem ser seguidos pelos atendentes."
1. Câmara de Ensino e Graduação - CEG,"A Câmara de Ensino e Graduação é o órgão máximo de deliberação do Conselho Universitário (CONSEPE), responsável por promover ações relacionadas ao ensino de graduação da Universidade Federal do Amazonas (UFAM). Para acessar os serviços ofertados pela CEG, é necessário entrar em contato com a Pró-Reitoria de Ensino de Graduação (PROEG) através dos telefones e e-mail disponíveis no site da UFAM."
Qual é a visão da Universidade Federal do Amazonas?,"A UFAM tem como visão ser uma instituição de excelência, comprometida com a formação de profissionais e cidadãos críticos, éticos e socialmente responsáveis."
Como saber mais sobre os valores da Universidade Federal do Amazonas?,Os valores da Universidade Federal do Amazonas podem ser encontrados no arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt2. Basta procurar pela seção 'Valores' para ter acesso às informações.
Quais são os serviços oferecidos pela Pró-Reitoria de Ensino de Graduação (Proeg)?,"Os serviços oferecidos pela Proeg incluem atendimento presencial e eletrônico, além de serviços específicos da Câmara de Ensino e Graduação (CEG), Procuradoria Institucional Educacional (PEI), Departamento de Apoio ao Ensino (DAE), Departamento de Programas Acadêmicos (DPA), Departamento de Legislação e Normas (DLN) e Departamento de Registro Acadêmico (DRA). O atendimento presencial e eletrônico abrange todas as demandas relacionadas à graduação na UFAM, enquanto os outros serviços são específicos de cada departamento, como a elaboração e revisão de documentos normativos, análise de processos de matrícula, criação e gestão de programas acadêmicos, entre outros."
Onde encontrar informações sobre a legislação acadêmica de Graduação da UFAM?,As informações sobre a legislação acadêmica de Graduação da UFAM podem ser encontradas no arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt2.
"Para visualizar informações sobre as competências da Universidade Federal do Amazonas (UFAM), selecione a opção Visão, que se encontra no início do arquivo.",Visão.......................................................................................................................................09 Princípios...............................................................................................................................09 Valores...................................................................................................................................09 Competências.......................................................................................................................09
O que é o Departamento de Apoio ao Ensino?,"O DAE é um departamento responsável por oferecer suporte ao ensino de graduação, desde o planejamento até a execução das atividades acadêmicas."
"Para obter informações sobre a Visão, Princípios, Valores e Competências da Universidade Federal do Amazonas (UFAM), acesse o arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt2 e navegue até a seção 09.",Visão.......................................................................................................................................09 Princípios...............................................................................................................................09 Valores...................................................................................................................................09 Competências.......................................................................................................................09
Como posso acessar os serviços oferecidos pela Procuradoria Institucional Educacional?,"Para acessar os serviços oferecidos pela Procuradoria Institucional Educacional (PEI), você pode entrar em contato por meio do atendimento presencial ou eletrônico. O atendimento presencial é realizado na sede da PEI, localizada no campus universitário da Universidade Federal do Amazonas (UFAM). Já o atendimento eletrônico pode ser feito por meio do e-mail ou telefone disponíveis no site da PEI."
Qual o nome do Departamento que oferece Serviços Ofertados pelo DRA?,O Departamento de Registro Acadêmico - DRA
como obter informações sobre a visão da UFAM?,"Você pode encontrar informações sobre a visão da UFAM no início do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt2, na página 9."
Qual é o Departamento que disponibiliza os dados e informações sobre a Universidade Federal do Amazonas (UFAM)?,"O Departamento de Registro Acadêmico (DRA) é responsável por disponibilizar dados e informações sobre a UFAM, como matrículas e registros acadêmicos dos alunos."
Procuradoria Institucional Educacional - PEI,Serviços ofertados pela PEI
Descreva o departamento de registro acadêmico da UFAM.,"O Departamento de Registro Acadêmico (DRA) é o órgão responsável pelo registro e controle da vida acadêmica dos estudantes da UFAM. Entre suas atribuições estão a matrícula, o acompanhamento de desempenho, a emissão de documentos, a certificação de conclusão de curso e a guarda dos registros acadêmicos. O DRA também é responsável pela condução de processos administrativos referentes à vida acadêmica dos estudantes, como trancamento de matrícula, transferências, aproveitamento de estudos e colação de grau. Para utilizar os serviços oferecidos pelo DRA, os estudantes devem estar atentos aos prazos e procedimentos estabelecidos pela legislação acadêmica da UFAM e seguir as orientações disponibilizadas no site do departamento."
Quais são os Valores da UFAM?,"Os valores da UFAM são: a ética, a democracia, a transparência, o respeito à diversidade, a valorização do ser humano e da natureza. Para obter mais informações sobre os valores da UFAM, acesse o documento 'Carta de Serviços da UFAM' disponível no site da Proeg."
Exemplo,Exemplo
Como acessar os serviços ofertados pela Pró-Reitoria de Ensino de Graduação (Proeg)?,"Para acessar os serviços ofertados pela Proeg, basta seguir os seguintes passos: \n1. Acesse o site da UFAM (www.ufam.edu.br) \n2. Clique na aba 'Graduação' \n3. Clique em 'Serviços' \n4. Selecione o serviço desejado dentre os oferecidos pela Proeg (Câmara de Ensino e Graduação, Procuradoria Institucional Educacional, Departamento de Apoio ao Ensino, Departamento de Programas Acadêmicos, Departamento de Legislação e Normas ou Departamento de Registro Acadêmico) \n5. Siga as instruções específicas de cada serviço para utilizá-lo."
Como obter informações sobre a Procuradoria Institucional Educacional?,"Para obter informações sobre a Procuradoria Institucional Educacional, acesse o site da Proeg (https://proeg.ufam.edu.br/) e procure pelo link da PEI. Lá você encontrará todas as informações sobre os serviços oferecidos pela PEI, além de contatos e outras informações relevantes."
Qual a palavra-chave que permite você encontrar as informações?,Baseado
Quais são as competências da Universidade Federal do Amazonas?,"A Universidade Federal do Amazonas é uma instituição de ensino superior que tem por competências a criação, desenvolvimento e disseminação do conhecimento nas áreas das ciências, artes e humanidades. Além disso, é responsável pela formação de profissionais qualificados que atendam às demandas da sociedade e pela produção e difusão de bens culturais e científicos."
"Para informações sobre os serviços ofertados pela Coordenação de Orientação Acadêmica - COA, navegue até a página 23 do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt3.","Na página 23 do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt3, você encontrará informações detalhadas sobre os serviços oferecidos pela Coordenação de Orientação Acadêmica - COA, responsável por auxiliar os alunos, professores e técnicos em questões relacionadas ao processo acadêmico."
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação da UFAM?,"A Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas é um documento que tem como objetivo facilitar o diálogo com a Comunidade Acadêmica e outros públicos que necessitam dos serviços administrativos relacionados aos processos acadêmicos. Ela foi elaborada de acordo com o que é previsto na Lei nº 13.460, de 2017, que determina que a Carta de Serviços ao Usuário deve informar sobre os serviços oferecidos pela instituição."
Acesse o site da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas (UFAM),https://proeg.ufam.edu.br/
Clique em 'Carta de Serviços' no menu principal,https://proeg.ufam.edu.br/carta-de-servicos
Verifique a lista de serviços ofertados pela COA,https://proeg.ufam.edu.br/coordenacao-de-orientacao-academica-coa/
Verifique a lista de serviços ofertados pela CM,https://proeg.ufam.edu.br/coordenacao-de-matricula-cm/
Verifique a lista de serviços ofertados pela CRC,https://proeg.ufam.edu.br/coordenacao-de-registro-e-controle-crc/
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas?,A Carta de Serviços da Proeg é um documento que tem como objetivo facilitar a comunicação com a comunidade acadêmica e com os demais públicos que necessitam dos serviços relacionados aos trâmites administrativos para processos acadêmicos na UFAM.
Qual a base legal para a elaboração da Carta de Serviços da Proeg?,"A base legal para a elaboração da Carta de Serviços da Proeg é a Lei nº 13.460, de 2017, que dispõe em seu Artigo 7º, Parágrafo 1º, sobre a obrigatoriedade de informar o usuário sobre os serviços prestados pela instituição."
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação da UFAM?,"A Carta de Serviços da Pró-Reitoria de Ensino de Graduação da UFAM é um documento que tem como objetivo facilitar o diálogo entre a Comunidade Acadêmica e os diversos públicos que necessitam dos serviços relacionados aos trâmites administrativos para processos acadêmicos. Ela foi elaborada de acordo com a Lei nº 13.460/2017, que prevê a Carta de Serviços ao Usuário como forma de informar sobre os serviços oferecidos pela instituição."
Encontre o serviço de orientação acadêmica,Os serviços de orientação acadêmica são ofertados pela Coordenação de Orientação Acadêmica (COA). Acesse a página 23 do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt para obter mais informações sobre a COA.
Encontre o serviço de matrícula,Os serviços de matrícula são ofertados pela Coordenação de Matrícula (CM). Acesse a página 25 do arquivo CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt para obter mais informações sobre a CM.
Lei de 2017,"A Lei nº 13.460, de 2017 dispõem em seu Artigo 7º, Parágrafo 1º, que a Carta de Serviços ao Usuário tem por objetivo informar o usuário sobre os serviços prestados pela instituição."
Coordenação de Orientação Acadêmica,"A Coordenação de Orientação Acadêmica (COA) é responsável por prestar orientações aos alunos da graduação da Universidade Federal do Amazonas (UFAM) em relação às questões acadêmicas. Para ter acesso a esse serviço, é necessário se dirigir à COA, localizada no prédio da Pró-Reitoria de Ensino de Graduação (Proeg), e apresentar a documentação necessária para a solicitação de orientação."
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação?,"A Carta de Serviços da Pró-Reitoria de Ensino de Graduação é um documento elaborado de acordo com a Lei nº 13.460, de 2017, que tem como objetivo informar a Comunidade Acadêmica e outros públicos sobre os serviços oferecidos pela Proeg da Universidade Federal do Amazonas."
Qual é o objetivo da Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas?,"O objetivo da Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas é facilitar o diálogo tanto com a Comunidade Acadêmica (alunos, professores e técnicos), quanto com os diversos tipos de públicos que necessitam dos serviços relacionados aos trâmites administrativos para consecução de processos acadêmicos. A Carta foi elaborada de acordo com o preconizado na Lei nº 13.460, de 2017 que dispõem em seu Artigo 7º, Parágrafo 1º, a Carta de Serviços ao Usuário tem por objetivo informar o usuário sobre os serviços."
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg)?,A Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) é um documento que tem como objetivo facilitar o diálogo com a Comunidade Acadêmica e com os demais públicos que necessitem dos serviços relacionados aos trâmites administrativos para processos acadêmicos.
Qual a legislação que preconiza a elaboração da Carta de Serviços da Proeg?,"A elaboração da Carta de Serviços da Proeg é preconizada pela Lei nº 13.460, de 2017, que determina, em seu Artigo 7º, Parágrafo 1º, que a Carta de Serviços ao Usuário tem como objetivo informar o usuário sobre os serviços oferecidos."
Qual é o objetivo da Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas?,"O objetivo da Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas é informar a comunidade acadêmica (alunos, professores e técnicos) e outros públicos sobre os serviços relacionados aos trâmites administrativos para processos acadêmicos, de acordo com o preconizado na Lei nº 13.460, de 2017."
Quais são os tipos de serviços oferecidos pela Coordenação de Orientação Acadêmica - COA?,"A COA oferece diversos serviços, como informações sobre o processo de orientação, auxílio na elaboração de projetos de pesquisa, acompanhamento do desenvolvimento acadêmico dos alunos, orientação para estágios e atividades complementares, entre outros. Para obter mais detalhes sobre cada serviço, consulte a página da COA no site da UFAM."
Como acessar a Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas?,"Para acessar a Carta de Serviços da Proeg da UFAM, acesse o site oficial da universidade e procure pela seção referente à Pró-Reitoria de Ensino de Graduação. Lá, você encontrará o documento completo com todas as informações sobre os serviços oferecidos pela instituição."
Qual é o objetivo da Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas?,A Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas é um documento que tem como objetivo facilitar o diálogo com a Comunidade Acadêmica e demais públicos que necessitam dos serviços relacionados aos trâmites administrativos para processos acadêmicos.
Qual é o embasamento legal para a elaboração da Carta de Serviços da Proeg?,"A elaboração da Carta de Serviços da Proeg foi embasada na Lei nº 13.460, de 2017, que determina, em seu Artigo 7º, Parágrafo 1º, a elaboração de uma Carta de Serviços ao Usuário com o objetivo de informar sobre os serviços oferecidos."
Quais são os serviços ofertados pela COA?,"Os serviços ofertados pela COA são: Orientação acadêmica, acompanhamento da vida acadêmica e profissional, acompanhamento de alunos com necessidades especiais, orientação sobre estratégias de estudo e apoio psicopedagógico."
Quais são os serviços ofertados pela CM?,"Os serviços ofertados pela CM são: Matrícula em disciplinas, trancamento de matrícula, transferência interna, mudança de turno, mudança de curso, aproveitamento de estudos e cancelamento de matrícula."
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação?,A Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) é um documento que tem como objetivo facilitar o diálogo com a comunidade acadêmica e demais públicos que necessitam dos serviços relacionados aos trâmites administrativos de processos acadêmicos da Universidade Federal do Amazonas (UFAM).
Qual é a legislação que dispõe sobre a Carta de Serviços ao Usuário?,"A legislação que dispõe sobre a Carta de Serviços ao Usuário é a Lei nº 13.460, de 2017, que em seu Artigo 7º, Parágrafo 1º, estabelece que a Carta de Serviços tem como objetivo informar os usuários sobre os serviços oferecidos pela instituição."
O que é a Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg)?,A Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) é um documento que tem como objetivo facilitar o diálogo com a comunidade acadêmica e com os diversos públicos que necessitam dos serviços relacionados aos trâmites administrativos para processos acadêmicos.
Quais são os serviços ofertados pela Coordenação de Orientação Acadêmica (COA)?,"A COA oferece diversos serviços, como orientação acadêmica, acompanhamento do desempenho acadêmico, atendimento aos estudantes com necessidades especiais, entre outros. Para mais informações, consulte o documento CARTA SERVIÇOS ATUALIZ JUNHO 2024.txt3 disponível no site da UFAM."
Qual é o objetivo da Carta de Serviços da Pró-Reitoria de Ensino de Graduação (Proeg) da Universidade Federal do Amazonas?,O objetivo da Carta de Serviços da Proeg é facilitar o diálogo com a Comunidade Acadêmica e com os diversos públicos que necessitam dos serviços relacionados aos trâmites administrativos para processos acadêmicos.
"De acordo com a Lei nº 13.460/2017, qual é o objetivo da Carta de Serviços ao Usuário?","De acordo com o Artigo 7º, Parágrafo 1º, da Lei nº 13.460/2017, o objetivo da Carta de Serviços ao Usuário é informar o usuário sobre os serviços oferecidos e seus respectivos prazos, formas de acesso, requisitos e documentos necessários, além dos locais e horários de atendimento."
Quais são os serviços ofertados pela COA?,"Os serviços ofertados pela COA são: matrícula em disciplinas, trancamento de matrícula, cancelamento de matrícula, aproveitamento de estudos, solicitação de diplomas, entre outros. Para saber mais detalhes sobre cada um desses serviços, consulte a página 24 da Carta de Serviços da Proeg."
O que é a Carta de Serviços da Proeg?,"A Carta de Serviços da Proeg é um documento elaborado de acordo com a Lei nº 13.460/2017 que tem como objetivo informar os usuários sobre os serviços oferecidos pela Pró-Reitoria de Ensino de Graduação da Universidade Federal do Amazonas (UFAM). Ela visa facilitar o diálogo com a comunidade acadêmica e outros públicos que necessitam dos serviços relacionados aos trâmites administrativos para processos acadêmicos. Para mais informações, consulte a página 35 da Carta de Serviços."
O que é a Coordenação de Orientação Acadêmica (COA)?,A Coordenação de Orientação Acadêmica (COA) é responsável por prestar serviços de orientação aos alunos da Universidade Federal do Amazonas (UFAM) sobre a legislação acadêmica de Graduação.
