Instruction,Response
Qual é a data prevista para realizar a oferta de disciplinas?,"A data prevista para realizar a oferta de disciplinas é a cada período letivo, fixado no Calendário Acadêmico."
Qual deve ser a responsabilidade da PROEG em relação à oferta de disciplinas?,A responsabilidade da PROEG em relação à oferta de disciplinas é o acompanhamento e supervisão da oferta de disciplinas.
Qual é o responsável pela oferta das disciplinas de graduação a cada semestre?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas;
Qual é o sistema utilizado para a oferta de disciplinas de graduação a cada semestre?,A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino  SIE.
Qual é o objetivo da Resolução 018/2012?,A Resolução 018/2012 tem como objetivo regulamentar a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas (UFAM).
Quem é responsável pela oferta das disciplinas?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas, e a PROEG é responsável pelo acompanhamento e supervisão da oferta."
Qual é o nome do documento?,RESOLUÇÃO Nº 018/2012
Quem é o responsável direto pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
O que é necessário fazer a cada período letivo?,"A cada período letivo, fixado no Calendário Acadêmico, a Universidade Federal do Amazonas deverá fazer a oferta de disciplinas obrigatórias e optativas do período."
O que é SIE?,"SIE é o Sistema Integrado de Ensino da Universidade Federal do Amazonas, que é utilizado para a oferta de disciplinas a cada semestre."
Quais são os responsáveis pela oferta de disciplinas?,Os responsáveis diretos pela oferta de disciplinas são o coordenador de curso e o chefe de departamento/coordenador acadêmico. Já a PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
Qual é o objetivo desta Resolução?,O objetivo desta Resolução é regulamentar a operacionalização da oferta de disciplinas a cada semestre.
Quais são os responsáveis pela oferta das disciplinas?,Os responsáveis diretos pela oferta das disciplinas são o coordenador de curso e o chefe de departamento/coordenador acadêmico. A PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas.
O que é regulamentado pela Resolução 018/2012?,A operacionalização da oferta de disciplinas a cada semestre.
Quais órgãos são responsáveis pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico.
Qual o órgão responsável pelo acompanhamento e supervisão da oferta de disciplinas?,A Pró-reitoria de Ensino de Graduação (PROEG) é responsável por supervisionar e acompanhar a oferta de disciplinas.
O que é a RESOLUÇÃO Nº 018/2012?,A RESOLUÇÃO Nº 018/2012 é um documento que regulamenta a operacionalização da oferta de disciplinas a cada semestre na Universidade Federal do Amazonas.
Quem é responsável pela oferta de disciplinas obrigatórias e optativas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Como a Universidade Federal do Amazonas é responsável pela oferta de disciplinas obrigatórias e optativas do período?,"A Universidade Federal do Amazonas é responsável pela oferta de disciplinas obrigatórias e optativas do período por meio do Sistema Integrado de Ensino (SIE), que deve ser utilizado para a oferta de disciplinas, e com base no Calendário Acadêmico."
Quais são os responsáveis diretos pela oferta das disciplinas?,"Os responsáveis diretos pela oferta das disciplinas são o coordenador de curso e o chefe de departamento/coordenador acadêmico, que devem fazer a oferta de todas as disciplinas obrigatórias e optativas do período, e a PROEG, que é responsável pelo acompanhamento e supervisão da oferta de disciplinas."
O que é a CEG?, A Câmara de Ensino de Graduação é uma instância da Universidade Federal do Amazonas que tem como objetivo tratar de assuntos relacionados à graduação. É ela quem regulamenta e supervisiona a oferta de disciplinas a cada semestre.
Quem é responsável pela oferta de disciplinas?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas, cabendo à PROEG o acompanhamento e supervisão."
Quais são as normas para a oferta de disciplina(s)/turma(s)?,"A oferta de disciplina(s)/turma(s) é feita através do Sistema Integrado de Ensino - SIE e deve ser feita pelo coordenador do curso, que deverá sugerir dias e horários para sua realização, bem como nome do professor para ministrá-la."
Quais são os responsáveis pela oferta das disciplinas?,"O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas, sendo que a PROEG é responsável pelo acompanhamento e supervisão da oferta de disciplinas."
Qual o papel da Proeg?,A Proeg é responsável pelo acompanhamento e supervisão da oferta de disciplinas
Como identificar as disciplinas disponíveis para cada período letivo?,As disciplinas disponíveis para cada período letivo são identificadas por meio do Calendário Acadêmico da Universidade Federal do Amazonas.
Quem é responsável pela oferta das disciplinas?,O coordenador de curso e o chefe de departamento/coordenador acadêmico são os responsáveis diretos pela oferta das disciplinas.
Instrução 1,"O coordenador de curso deve sugerir dias e horários de funcionamento para as disciplinas e encaminhar esses pedidos de oferta para o chefe de departamento/coordenador acadêmico, via SIE."
Instrução 2,"Caso não haja concordância por parte do chefe de departamento/coordenador acadêmico com a sugestão de dias e horários de funcionamento das disciplinas, é necessário manter diálogo, via SIE, até que haja consenso. Caso não haja consenso até o prazo de oferta de disciplinas definido no Calendário Acadêmico, a PROEG poderá propor horários e dias de funcionamento que possibilitem ao aluno periodizado na(s) disciplina(s), cursá-la(s)."
O que deve ser feito em caso de discordância entre as partes?,"Deve-se manter diálogo via SIE até que haja consenso. Se não houver, a PROEG poderá propor horários e dias de funcionamento que possibilitem ao aluno cursar a disciplina."
Quais são as responsabilidades do chefe de departamento/coordenador acadêmico?,"Analisar e concordar com os pedidos de oferta de disciplinas, alocar professor e espaço físico, liberar disciplina para matrícula, indicar nome do professor responsável e dar prioridade às disciplinas do primeiro período de todos os cursos."
Como proceder com os pedidos de oferta de disciplinas?\n,"Para realizar a oferta de disciplinas, primeiramente o coordenador de curso deve encaminhar os pedidos para o chefe de departamento ou coordenador acadêmico, via SIE. Após análise e concordância, o chefe de departamento/coordenador acadêmico deve alocar o professor e o espaço físico, liberando a disciplina para matrícula, também via SIE. É importante ressaltar que, caso haja discordância entre o coordenador de curso e o chefe de departamento/coordenador acadêmico quanto aos horários de funcionamento das disciplinas, deve ser feito um diálogo via SIE até que se chegue a um consenso. Caso não haja acordo após o prazo de oferta de disciplinas definido no Calendário Acadêmico, a PROEG poderá propor horários e dias de funcionamento para a disciplina."
"Ministrá-las. Ato contínuo deve encaminhar esses pedidos de oferta para o chefe de departamento/coordenador acadêmico, via SIE","Para encaminhar os pedidos de oferta de disciplinas, siga os seguintes passos:\n1. Acesse o SIE e faça login com as suas credenciais;\n2. Na aba 'Oferta de Disciplinas', selecione a opção 'Encaminhar Pedido de Oferta';\n3. Selecione o chefe de departamento ou coordenador acadêmico para quem deseja encaminhar os pedidos de oferta; e\n4. Clique em 'Enviar'."
como solicitar a oferta de disciplinas?,"Para solicitar a oferta de disciplinas, o coordenador de curso deve preencher os formulários de solicitação disponíveis no SIE e encaminhá-los ao chefe de departamento/coordenador acadêmico. O chefe de departamento/coordenador acadêmico irá analisar e concordar com os pedidos de oferta, e então alocar o professor e o espaço físico, liberando a disciplina para matrícula no SIE. Se houver divergências entre o coordenador de curso e o chefe de departamento/coordenador acadêmico em relação aos dias e horários de funcionamento das disciplinas, é necessário que haja um diálogo via SIE até que um consenso seja alcançado. Se não houver acordo até o prazo definido no Calendário Acadêmico, a PROEG poderá propor horários e dias de funcionamento para a disciplina, que serão responsáveis pela liberação da disciplina para a matrícula."
"Para gerar pedidos de ofertas para disciplinas, o coordenador do curso deve realizar o pedido no SIE. O SIE vai encaminhar o pedido para o chefe de departamento ou coordenador acadêmico. O chefe de departamento ou coordenador acadêmico deve analisar o pedido e concordar, caso esteja de acordo, liberando a disciplina para matrícula. Se houver discordância, as partes devem dialogar até chegarem a um consenso, caso contrário, a PROEG poderá propor horários e dias para a disciplina.","O coordenador do curso deve realizar o pedido no SIE. O SIE encaminhará o pedido para o chefe de departamento ou coordenador acadêmico, que deve analisá-lo e liberar a disciplina para matrícula, caso esteja de acordo. Se houver discordância, as partes devem dialogar até chegarem a um consenso ou a PROEG poderá propor horários e dias para a disciplina."
"O chefe de departamento deve fazer alocação do professor e do espaço físico, liberando a disciplina para matrícula via SIE.","Após análise e concordância dos pedidos de oferta, o chefe de departamento/coordenador acadêmico deve fazer a alocação do professor e do espaço físico, liberando a disciplina para matrícula via SIE."
"Se não houver consenso entre as partes sobre os horários de funcionamento das disciplinas, o chefe de departamento deve manter diálogo com o coordenador do curso até que haja o consenso.","Em caso de falta de concordância entre as partes sobre os horários de funcionamento das disciplinas, o chefe de departamento/coordenador acadêmico deve manter diálogo com o coordenador do curso, via SIE, até que haja o consenso."
O que é o artigo 3º?,"O artigo 3º da legislação acadêmica de Graduação da UFAM estabelece a obrigatoriedade da indicação do nome do professor responsável a cada disciplina/turma ofertada. Além disso, caso não haja professor disponível, o chefe de departamento/coordenador acadêmico deve sinalizar no campo apropriado no SIE a mensagem PROFESSOR A CONTRATAR."
Quais as atribuições do chefe de departamento/coordenador acadêmico?,"As atribuições do chefe de departamento/coordenador acadêmico incluem análise e concordância dos pedidos de oferta de disciplinas, alocação de professores e espaços físicos, liberação das disciplinas para matrícula, diálogo com o coordenador de curso sobre sugestão de dias e horários de funcionamento das disciplinas, prioridade na alocação de professores para disciplinas/turmas do primeiro período de todos os cursos da UFAM."
Qual é o primeiro passo para que o coordenador de curso possa sugerir a oferta de disciplinas na UFAM?,"A sugestão de ofertas de disciplinas para a grade curricular da UFAM deve ser encaminhada pelo coordenador de curso à unidade acadêmica responsável pelo curso, via SIE."
Qual é o procedimento a ser realizado pelo chefe de departamento/coordenador acadêmico após a análise e concordância dos pedidos de oferta?,"Após a análise e concordância dos pedidos de oferta, o chefe de departamento/coordenador acadêmico deve fazer a alocação do professor e do espaço físico, liberando a disciplina para matrícula, via SIE."
"Ato contínuo deve encaminhar esses pedidos de oferta para o chefe de departamento/coordenador acadêmico, via SIE","Para encaminhar os pedidos de oferta para o chefe de departamento/coordenador acadêmico, acesse o SIE e siga os seguintes passos: 1. Faça login no sistema com suas credenciais; 2. Na aba 'Oferta de Disciplinas', selecione a opção 'Encaminhar Pedido de Oferta'; 3. Selecione o departamento/coordenador acadêmico responsável; 4. Preencha as informações solicitadas e anexe os documentos necessários; 5. Clique em 'Enviar' para finalizar o processo."
Analisar pedidos de oferta de disciplinas,"O chefe de departamento/coordenador acadêmico é responsável por analisar os pedidos de oferta de disciplinas encaminhados pelo coordenador acadêmico do curso, via SIE. Após a análise, o chefe de departamento/coordenador acadêmico deve concordar com a sugestão de dias e horários de funcionamento das disciplinas ou manter diálogo com o coordenador acadêmico, via SIE, até que haja consenso. Em caso de não haver acordo, a PROEG poderá propor horários e dias de funcionamento que possibilitem ao aluno periodizado na(s) disciplina(s), cursá-la(s). Nesse caso, cabe à PROEG a liberação da(s) disciplina(s) para matrícula."
"O chefe de departamento/coordenador acadêmico deve encaminhar pedidos de oferta de disciplinas, via SIE, para a PROEG.","De acordo com a legislação acadêmica da UFAM, o chefe de departamento/coordenador acadêmico deve enviar os pedidos de oferta de disciplinas para a PROEG via SIE."
"Em caso de falta de consenso entre as partes envolvidas na oferta de disciplinas, a PROEG poderá propor horários e dias de funcionamento que possibilitem ao aluno cursá-la.","Caso não haja acordo entre as partes na oferta de disciplinas, a PROEG tem o poder de propor horários e dias de funcionamento que permitam aos alunos cursarem a disciplina em questão."
Qual é o processo para fazer a alocação do professor e do espaço físico na disciplina?,"O chefe de departamento/coordenador acadêmico deve analisar e concordar com os pedidos de oferta de disciplinas feitos pelo coordenador de curso e, em seguida, liberar a disciplina para matrícula através do SIE. Caso não haja consenso entre as partes, é necessário manter um diálogo via SIE até que haja um acordo. Se não houver acordo, a PROEG poderá sugerir horários e dias de funcionamento para a disciplina, garantindo que os alunos possam cursá-la."
O que deve ser indicado quando não há nenhum professor disponível para ser o responsável pela disciplina?,"O chefe de departamento/coordenador acadêmico deve sinalizar no campo apropriado do SIE a mensagem 'PROFESSOR A CONTRATAR', indicando que ainda é necessário contratar um professor para a disciplina. Caso não haja professor disponível, a alocação da disciplina fica sob responsabilidade da PROEG."
"peça para o chefe de departamento/coordenador acadêmico liberar a disciplina para matrícula, via SIE","Solicite ao chefe de departamento/coordenador acadêmico que analise e concorde com os pedidos de oferta e faça a alocação do professor e do espaço físico, liberando a disciplina para matrícula através do SIE."
"O chefe de departamento/coordenador acadêmico, após análise e concordância dos pedidos de oferta, faz a alocação do professor e do espaço físico, liberando a disciplina para matrícula, via SIE.","Para fazer a alocação do professor e do espaço físico, o chefe de departamento/coordenador acadêmico deve analisar os pedidos de oferta e concordar com eles. Em seguida, deve liberar a disciplina para matrícula através do SIE."
Como liberar disciplina para matrícula,"Deve-se encaminhar os pedidos de oferta para o chefe de departamento/coordenador acadêmico, via SIE. Ele irá analisar e concordar com os pedidos e então fazer a alocação do professor e do espaço físico, liberando a disciplina para matrícula no SIE."
O que fazer caso não haja consenso entre o chefe de departamento e o coordenador acadêmico,"Havendo um conflito de sugestões de dias e horários para funcionamento da disciplina, as partes devem manter diálogo via SIE até chegarem a um consenso. Caso não haja acordo, a PROEG poderá propor horários e dias de funcionamento que sejam viáveis para o aluno. Nesse caso, a PROEG será responsável por liberar a disciplina para matrícula."
Qual o procedimento para que o chefe de departamento/coordenador acadêmico libere a disciplina para matrícula?,"O chefe de departamento/coordenador acadêmico deve analisar e concordar com os pedidos de oferta e fazer a alocação do professor e do espaço físico, liberando a disciplina para matrícula através do SIE. Em caso de não concordância com os dias e horários sugeridos pelo coordenador de curso, as partes devem manter diálogo via SIE até que haja consenso. Caso não seja possível chegar a um acordo, a PROEG poderá propor horários e dias de funcionamento que possibilitem ao aluno cursar a disciplina."
O que deve ser feito quando não houver consenso entre as partes sobre a sugestão de dias e horários de funcionamento das disciplinas?,"As partes devem manter diálogo, via SIE, sobre as alterações até que haja o consenso. Havendo, o chefe de departamento/coordenador acadêmico libera a disciplina para a matrícula, observando o cumprimento da alínea b deste artigo."
O que deve ser feito quando não houver professor que possa ser o responsável pela disciplina?,"O chefe de departamento/coordenador acadêmico deverá sinalizar, em campo apropriado no SIE, a mensagem PROFESSOR A CONTRATAR."
"De acordo com o Artigo 3º, é obrigatória a indicação do nome do professor responsável a cada disciplina/turma ofertada. Se na eventualidade de não haver professor que possa ser o responsável pela disciplina, o chefe de departamento/coordenador acadêmico deverá sinalizar, em um campo apropriado no SIE, a mensagem PROFESSOR A CONTRATAR.","Para a indicação do nome do professor responsável pela disciplina/turma, é necessário acessar o SIE e preencher o campo apropriado com a mensagem PROFESSOR A CONTRATAR, caso não haja professor que possa ser responsável pela disciplina."
Qual o nome do coordenador acadêmico dessa disciplina?,O nome do coordenador é Rosana Cristina Pereira Parente.
O que o chefe de departamento deve fazer?,O chefe de departamento deve providenciar atualização junto à Prefeitura do Campus do local onde ocorrerão as aulas.
Qual é a situação da disciplina/turma oferecida para o Departamento/Coordenador Acadêmico e quais as providências a serem tomadas para atualização de ambiente físico?,A disciplina/turma deve estar com a situação de matrícula no SIE e é de responsabilidade do chefe de departamento/coordenador acadêmico atualizar junto à Prefeitura do Campus o ambiente físico onde ocorrerão as aulas (blocos).
Como é feita a alocação de professores para ministrar uma disciplina/turma e qual a carga horária atribuída a cada um deles?,"A alocação dos professores deve ser feita pelo coordenador da disciplina no SIE, escolhendo apenas um dos docentes envolvidos para ser o coordenador. Além disso, deve ser atribuída a carga horária de cada professor no sistema."
"Como chefe de departamento/coordenador acadêmico, atualize a Prefeitura do Campus sobre as aulas.",O chefe de departamento/coordenador acadêmico é responsável por atualizar a Prefeitura do Campus sobre as aulas. É necessário atualizar a Prefeitura do Campus para que o ambiente físico onde ocorrerão as aulas possam ser definidos. Isso garantirá que os alunos possam visualizar a oferta da disciplina/turma no Portal do Aluno.
"Como coordenador da disciplina, você deve alocar apenas um professor para ser o coordenador da disciplina.","Como coordenador da disciplina, é sua responsabilidade alocar apenas um professor para ser o coordenador da disciplina. Além disso, é necessário definir a carga horária que cada professor terá na disciplina, o que pode ser feito no SIE. Isso garantirá que o processo de oferta de disciplina/turma possa ser finalizado e que os alunos possam visualizar a oferta no Portal do Aluno."
"O processo de oferta de disciplina/turma só será considerado finalizado, quando a disciplina/turma estiver com a situação de matrícula Poder Executivo Ministério da Educação Universidade Federal do Amazonas Conselho de Ensino, Pesquisa e Extensão - CONSEPE Câmara de Ensino de Graduação - CEG RESOLUÇÃ0 018/2012-CEG/CONSEPE DE 27 ABR DE 2012 4 no SIE, o que permitirá que o aluno possa visualizar a oferta da disciplina/turma no Portal do Aluno.","Para que o processo de oferta de disciplina/turma seja considerado finalizado, é necessário que a disciplina/turma esteja com a situação de matrícula no SIE, pois esse é o procedimento que permitirá que o aluno possa visualizar a oferta da disciplina/turma no Portal do Aluno."
Qual a função do chefe de departamento/coordenador acadêmico?,"As funções do chefe de departamento/coordenador acadêmico são: alocar professores para ministrar disciplinas/turmas, atribuir a carga horária que caberá a cada professor e atualizar junto à Prefeitura do Campus o ambiente físico onde ocorrerão as aulas."
O que deve ser feito para que o processo de oferta de disciplina/turma seja considerado finalizado?,"Para que o processo de oferta de disciplina/turma seja considerado finalizado, é necessário que a disciplina/turma esteja com a situação de matrícula no SIE, o que permitirá que o aluno possa visualizar a oferta da disciplina/turma no Portal do Aluno."
Qual é o objetivo do departamento/coordenador de acadêmico?,"O objetivo do departamento/coordenador de acadêmico é alocar mais de um professor para a disciplina/turma oferecida, de acordo com a ementa e distribuição da carga horária."
Quais são as responsabilidades do chefe de departamento/coordenador acadêmico?,"As responsabilidades do chefe de departamento/coordenador acadêmico incluem definir o coordenador da disciplina, atribuir a carga horária dos professores envolvidos, e atualizar o ambiente físico onde ocorrerão as aulas junto à Prefeitura do Campus."
"Para alocar um professor para ministrar a disciplina, o departamento/coordenador acadêmico deve seguir os seguintes passos:","1. Acesse o SIE; 2. Selecione a disciplina desejada; 3. Na aba 'Docentes', selecione os professores envolvidos na disciplina; 4. Defina apenas um dos professores como coordenador; 5. Atribua a carga horária de cada professor envolvido."
"departamento/coordenador de acadêmico, observando a ementa e distribuição da carga horária da disciplina/turma oferecida, poderá alocar mais de um professor para ministrá-la.","Para alocar mais de um professor para ministrar uma disciplina/turma, o departamento/coordenador de acadêmico deve observar a ementa e a distribuição da carga horária da disciplina/turma oferecida."
"1º. Na alocação dos professores que ministrarão a disciplina, deve ser definido, no SIE, dentre os docentes envolvidos na disciplina, apenas um para ser o coordenador da mesma.","Para alocar professores para ministrar uma disciplina, é necessário definir, no SIE, apenas um dos docentes envolvidos como coordenador da disciplina."
Como atribuir um coordenador para ministrar uma disciplina.,"Para atribuir um coordenador para ministrar uma disciplina, o departamento/coordenador acadêmico deverá seguir os seguintes passos: 1. Acesse o SIE (Sistema de Informação para o Ensino), utilizando seu login e senha. 2. Localize a disciplina/turma oferecida e clique em 'Editar'. 3. Na seção 'Docentes Envolvidos', selecione o professor desejado para ser o coordenador da disciplina. 4. Clique em 'Salvar' para confirmar a seleção. 5. Atribua a carga horária adequada para cada professor envolvido na disciplina, também na seção 'Docentes Envolvidos'. 6. Clique em 'Salvar' novamente para finalizar a alocação dos professores. Pronto, a disciplina já terá um coordenador atribuído."
Qual é o papel do coordenador acadêmico no processo de oferta de disciplina/turma?,"De acordo com a legislação acadêmica de Graduação da UFAM, o coordenador acadêmico pode alocar mais de um professor para ministrar uma disciplina/turma, mas é necessário definir um deles como coordenador e atribuir a carga horária de cada um no Sistema de Informações para o Ensino (SIE). Além disso, é responsabilidade do coordenador acadêmico atualizar as informações sobre o ambiente físico onde as aulas serão ministradas junto à Prefeitura do Campus."
"Como chefe de departamento/coordenador acadêmico, você é responsável por alocar professores para ministrar disciplinas. Certifique-se de que apenas um professor seja definido como coordenador da disciplina e atribua a carga horária de cada professor envolvido.","Para alocar professores para ministrar disciplinas, verifique se apenas um professor é definido como coordenador e atribua a carga horária no SIE."
Certifique-se de que a disciplina/turma tenha a situação de matrícula no SIE para que os alunos possam visualizar a oferta no Portal do Aluno.,"Para garantir que os alunos possam visualizar a oferta da disciplina/turma, certifique-se de que a situação de matrícula esteja no SIE."
"No SIE, o chefe de departamento/coordenador acadêmico deve definir os docentes envolvidos na disciplina/turma e atribuir a carga horária que cabe a cada um deles.","O chefe de departamento/coordenador acadêmico deve acessar o SIE e, na aba de disciplinas/turmas, selecionar a coluna 'Professores envolvidos' e, em seguida, alocar os docentes que ministrarão a disciplina/turma. Além disso, na mesma aba, é necessário selecionar a opção 'Carga horária' e inserir a quantidade de horas que cada professor será responsável por ministrar."
"Ao criar uma disciplina/turma, o departamento/coordenador acadêmico deverá seguir o processo de alocação de professores.","O processo de alocação de professores consiste em definir, no SIE, um docente para ser o coordenador da disciplina e atribuir a carga horária de cada professor."
"Ao finalizar o processo de oferta da disciplina/turma, o chefe de departamento/coordenador acadêmico deverá realizar algumas atualizações.",O chefe de departamento/coordenador acadêmico é responsável por atualizar junto à Prefeitura do Campus o ambiente físico onde as aulas ocorrerão.
Como deve ser alocado um professor para uma disciplina?,"O processo de alocação de professores que ministrarão a disciplina deve ser realizado pelo departamento/coordenador acadêmico através do SIE, escolhendo entre os docentes envolvidos na disciplina, aquele que será o coordenador. Além disso, é necessário definir a carga horária que caberá a cada professor envolvido."
Quando o processo de oferta de disciplina/turma é considerado finalizado?,"O processo de oferta de disciplina/turma é considerado finalizado quando estiver com a situação de matrícula Poder Executivo Ministério da Educação Universidade Federal do Amazonas Conselho de Ensino, Pesquisa e Extensão - CONSEPE Câmara de Ensino de Graduação - CEG RESOLUÇÃ0 018/2012-CEG/CONSEPE DE 27 ABR DE 2012 4 no SIE, permitindo que os alunos possam visualizar a oferta da disciplina/turma no Portal do Aluno."
É possível alocar mais de um professor para ministrar uma disciplina da graduação?,"Sim, é possível. Artigo 6º. O processo de oferta de disciplina/turma só será considerado finalizado, quando a disciplina/turma estiver com a situação de matrícula Poder Executivo Ministério da Educação Universidade Federal do Amazonas Conselho de Ensino, Pesquisa e Extensão - CONSEPE Câmara de Ensino de Graduação - CEG RESOLUÇÃ0 018/2012-CEG/CONSEPE DE 27 ABR DE 2012 4 no SIE, o que permitirá que o aluno possa visualizar a oferta da disciplina/turma no Portal do Aluno."
"Como responsável pelo processo de oferta de disciplina/turma, você deve alocar mais de um professor para ministrá-la. Para isso, siga as seguintes instruções:","1. No Sistema de Informação para o Ensino (SIE), defina apenas um coordenador entre os docentes envolvidos na disciplina.\n2. Atribua a carga horária correspondente a cada um dos professores envolvidos na disciplina."
"Para alocar mais de um professor na disciplina, o coordenador deve: ","Gerar e enviar um ofício ao departamento/coordenador acadêmico, solicitando a alocação de mais de um professor para a disciplina e informar a ementa e distribuição de carga horária da disciplina/turma."
